"Story","Title","Result","Date","Stability","Duration (s)"
"Student CURD test with steps","This will create a new student","SUCCESS","2022-06-11T14:48:01.822+01:00[Europe/London]","0.0","0.05"
"Student CURD test with steps","Verify if the student was added to the application","SUCCESS","2022-06-11T14:48:01.879+01:00[Europe/London]","0.0","0.07"
"Student CURD test with steps","Update the user information and verify the updated information","SUCCESS","2022-06-11T14:48:01.950+01:00[Europe/London]","0.0","0.12"
"Student CURD test with steps","Delete the student and verify if the student is deleted!","SUCCESS","2022-06-11T14:48:02.073+01:00[Europe/London]","0.0","0.1"
